"spcd","symbol","common","scientific"
8563,"SCTE","Brazilian peppertree","Schinus terebinthifolius"
8565,"SCPA23","Brazilian firetree","Schizolobium parahybum"
8567,"SCOL3","lac tree","Schleichera oleosa"
8571,"SCAR2","arana","Schoepfia arenaria"
8572,"SCOB","white beefwood","Schoepfia obovata"
8573,"SCSC3","gulf graytwig","Schoepfia schreberi"
8577,"SCHY5","kuat","Scyphiphora hydrophyllacea"
8583,"SEFL9","poumuli","Securinega flexuosa"
8585,"SEKR3","poison tree","Semecarpus kraemeri"
8586,"SEVE4","tonget","Semecarpus venenosa"
8588,"SEAL4","emperor's candlesticks","Senna alata"
8356,"PSGU","guava","Psidium guajava"
8590,"SEGA2","Gaudichauds senna","Senna gaudichaudii"
8591,"SEMU5","false sicklepod","Senna multijuga"
8592,"SEPE4","valamuerto","Senna pendula"
8594,"SEPO5","retama prieta","Senna polyphylla"
8595,"SESE13","senna","Senna septemtrionalis"
8596,"SESI3","Siamese cassia","Senna siamea"
8597,"SESP9","casia amarilla","Senna spectabilis"
8598,"SENNA","senna","Senna spp."
8599,"SESU10","Senna sulfurea","Senna sulfurea"
8600,"SESU4","glossy shower","Senna surattensis"
8601,"SEKA2","ukall","Serianthes kanehirae"
8603,"SENE9","hayun lago, trongkon guafi","Serianthes nelsonii"
8605,"SEGR5","vegetable hummingbird","Sesbania grandiflora"
8606,"SESE8","Egyptian riverhemp","Sesbania sesban"
8607,"SESBA","riverhemp","Sesbania spp."
8608,"SHIN","Shirakiopsis indica","Shirakiopsis indica"
8609,"SIFA","yellow llima","Sida fallax"
8610,"SIDA","fanpetals","Sida spp."
8611,"SICU7","espejuelo","Sideroxylon cubense"
8612,"SICE2","saffron plum","Sideroxylon celastrinum"
8613,"SIOB","breakbill","Sideroxylon obovatum"
8614,"SIPO3","Puerto Rico bully","Sideroxylon portoricense"
8615,"SILY","buckthorn bully","Sideroxylon lycioides"
8616,"SITE2","tough bully","Sideroxylon tenax"
8617,"SIMAR","simarouba","Simarouba spp."
8618,"SILA4","Tamaulipan Coma","Sideroxylon laetevirens"
8619,"SITU","aceitillo falso","Simarouba tulae"
8620,"SIDE6","hoja menuda","Siphoneugena densiflora"
8622,"SLOAN","bullwood","Sloanea spp."
8623,"SLAM","motillo","Sloanea amygdalina"
8624,"SLBE","bullwood","Sloanea berteriana"
8626,"SOBAB","Solanum bahamense","Solanum bahamense"
8627,"SODO3","mullein nightshade","Solanum donianum"
8628,"SOAM","American black nightshade","Solanum americanum"
8629,"SOER2","potatotree","Solanum erianthum"
8631,"SOMA3","earleaf nightshade","Solanum mauritianum"
8632,"SONU4","forest nightshade","Solanum nudum"
8633,"SOPO","cakalaka berry","Solanum polygamum"
8634,"SORU","tabacon aspero","Solanum rugosum"
8635,"SOLAN","nightshade","Solanum spp."
8636,"SOTO4","turkey berry","Solanum torvum"
8639,"SOAL10","mangrove","Sonneratia alba"
8641,"SOCH","mamani","Sophora chrysophylla"
8642,"SOPHO","necklacepod","Sophora spp."
8643,"SOTO3","silver bush","Sophora tomentosa"
8644,"SPCA2","African tuliptree","Spathodea campanulata"
8645,"SPATH","spathodea","Spathodea spp."
8646,"SPSA7","Spiraeanthemum samoense","Spiraeanthemum samoense"
8647,"STJA9","Japanese pagoda tree","Styphnolobium japonicum"
8648,"SOSE3","mescal bean","Sophora secundiflora"
8649,"SPDU3","Spondias dulcis","Spondias dulcis"
8650,"SPMO","yellow mombin","Spondias mombin"
8651,"COBO2","Anacahuita Texas Olive","Cordia boissieri"
8430,"RAMY","togo vao","Rapanea myricifolia"
8653,"SPOND","Spondias","Spondias spp."
8654,"STMO","cobana negra","Stahlia monosperma"
8655,"STAM10","ngmui","Stemonurus ammui"
8656,"SPPI4","titmel","Spondias pinnata"
8657,"SORBA","false spiraea","Sorbaria spp."
8658,"SOSC2","Greene's mountain ash","Sorbus scopulina"
8659,"SOSI2","western mountain ash","Sorbus sitchensis"
8660,"SOAM2","maras","Soulamea amara"
8664,"STAP","Panama tree","Sterculia apetala"
8665,"STFA5","fanaio","Sterculia fanaiho"
8666,"STFO2","hazel sterculia","Sterculia foetida"
8667,"STPA20","Sterculia palauensis","Sterculia palauensis"
8668,"STMA","silky camellia","Stewartia malacodendron"
8669,"STAN9","anthropophagorum","Streblus anthropophagorum"
8670,"STPE3","Hawaii roughbush","Streblus pendulinus"
8671,"STREB","streblus","Streblus spp."
8672,"STOV","mountain camellia","Stewartia ovata"
8673,"STAM4","American snowbell","Styrax americanus"
8674,"STPO3","palo de jazmin","Styrax portoricensis"
8675,"STKO2","Stewartia","Stewartia koreana"
8676,"SUMA2","bay cedar","Suriana maritima"
8678,"SWIET","mahogany","Swietenia spp."
8679,"SWMA","Honduras mahogany","Swietenia macrophylla"
8683,"SYLA2","nispero cimarron","Symplocos lanata"
8684,"SYMA","Martinique sweetleaf","Symplocos martinicensis"
8685,"SYMI3","aceitunilla","Symplocos micrantha"
8687,"SYRA6","chebtui, ebtui","Symplocos racemosa"
8689,"SYGL","turpentine tree","Syncarpia glomulifera"
8690,"SYNCA","turpentine tree","Syncarpia spp."
8691,"SYDU","miraculous berry","Synsepalum dulcificum"
8693,"SYVU","common lilac","Syringa vulgaris"
8694,"SYAQ","watery roseapple","Syzygium aqueum"
8695,"SYBR3","asi","Syzygium brevifolium"
8696,"SYCA4","popona","Syzygium carolinense"
8697,"SYCL","asi vai","Syzygium clusiifolium"
8698,"SYGR2","sea apple","Syzygium grande"
8699,"SYDE3","asi vai","Syzygium dealatum"
8700,"SYIN2","asi","Syzygium inophylloides"
8701,"SYJA","Syzygium jambos","Syzygium jambos"
8702,"SYMA2","Malaysian apple","Syzygium malaccense"
8703,"SYRI3","popona","Syzygium richii"
8704,"SYSA3","nonu vao","Syzygium samarangense"
8705,"SYSA6","fena vao","Syzygium samoense"
8706,"SYSA","ohia ha","Syzygium sandwicense"
8708,"SYZYG","syzygium","Syzygium spp."
8709,"TACH3","roble amarillo","Tabebuia chrysantha"
8710,"TADO2","primavera","Tabebuia donnell-smithii"
8712,"TAHA","roble cimarron","Tabebuia haemantha"
8713,"TAHE","white cedar","Tabebuia heterophylla"
8714,"TAPA10","pink tabebuia","Tabebuia pallida"
8715,"TARI","roble de sierra","Tabebuia rigida"
8716,"TARO","pink trumpet-tree","Tabebuia rosea"
8717,"TASC2","roble colorado","Tabebuia schumanniana"
8718,"TABEB","trumpet-tree","Tabebuia spp."
8719,"TAAU3","Tabernaemontana aurantiaca","Tabernaemontana aurantiaca"
8720,"TACI","milkwood","Tabernaemontana citrifolia"
8722,"TAPA13","Pulu","Tabernaemontana pandacaqui"
8727,"TAAP","Athel tamarisk","Tamarix aphylla"
8728,"TACH2","five-stamen tamarisk","Tamarix chinensis"
8737,"TASA2","manunu","Tarenna sambucina"
8738,"TABA80","English yew","Taxus baccata"
8739,"TACU","Japanese yew","Taxus cuspidata"
8741,"TECA9","chestnutleaf trumpetbush","Tecoma castanifolia"
8743,"TEST","yellow trumpetbush","Tecoma stans"
8744,"TEGR","teak","Tectona grandis"
8745,"TECTO","tectona","Tectona spp."
8748,"TERMI","tropical almond","Terminalia spp."
8749,"TECA16","kehma","Terminalia carolinensis"
8750,"TECA","tropical almond","Terminalia catappa"
8751,"TECR3","esemiich, chesemiich","Terminalia crassipes"
8752,"TEED","esemiich, chesemiich","Terminalia edulis"
8753,"TELI7","strand tree","Terminalia litoralis"
8754,"TEIV2","Ivory Coast almond","Terminalia ivorensis"
8755,"TEKA4","tropical almond","Terminalia kaernbachii"
8756,"TEMY","East Indian almond","Terminalia myriocarpa"
8757,"TEOB","Peruvian almond","Terminalia oblonga"
8758,"TERI3","malili","Terminalia richii"
8759,"TESA2","talie","Terminalia samoensis"
8761,"TESU2","superb terminalia","Terminalia superba"
8762,"TEHE3","saintedwood","Ternstroemia heptasepala"
8763,"TELU2","palo colorado","Ternstroemia luquillensis"
8764,"TEPE","copey vera","Ternstroemia peduncularis"
8766,"TEST3","mamey de cura","Ternstroemia stahlii"
8767,"TESU","el yunque colorado","Ternstroemia subsessilis"
8768,"TEBA","masa","Tetragastris balsamifera"
8770,"TEFL5","Flynnsohe","Tetraplasandra flynnii"
8771,"TEGY","Koolau Rangeohe","Tetraplasandra gymnocarpa"
8772,"TEHA2","Hawaii ohe","Tetraplasandra hawaiensis"
8773,"TEKA3","ohe ohe","Tetraplasandra kavaiensis"
8774,"TEOA","ohe mauka","Tetraplasandra oahuensis"
8775,"TETRA11","tetraplasandra","Tetraplasandra spp."
8776,"TEWA","Mt. Waialeale ohe","Tetraplasandra waialealae"
8777,"TEWA3","ohe kiko ola","Tetraplasandra waimeae"
8778,"TEAN2","stinkingfish","Tetrazygia angustifolia"
8779,"TEBI","Florida clover ash","Tetrazygia bicolor"
8780,"TEBI2","Puerto Rico clover ash","Tetrazygia biflora"
8781,"TEEL","krekre","Tetrazygia elaeagnoides"
8783,"TEUR","cenizo","Tetrazygia urbanii"
8784,"THCA","cacao","Theobroma cacao"
8786,"THGR2","maga","Thespesia grandiflora"
8787,"THPO3","Portia tree","Thespesia populnea"
8788,"THESP","thespesia","Thespesia spp."
8789,"THPE3","luckynut","Thevetia peruviana"
8793,"THST2","ceboruquillo","Thouinia striata"
8794,"THSTP","Puerto Rico ceboruquillo","Thouinia striata"
8799,"TIAL2","Timonius albus","Timonius albus"
8800,"TILE4","kehn","Timonius ledermannii"
8801,"TIPO5","tuhke duwehte kamal","Timonius ponapensis"
8803,"TIGR3","Brazilian glorytree","Tibouchina granulosa"
8804,"TIBOU","glorytree","Tibouchina spp."
8589,"SEAT3","flor de San Jose","Senna atomaria"
8806,"TICO7","Timonius corymbosus","Timonius corymbosus"
8807,"TIMO4","Timonius mollis","Timonius mollis"
8808,"TIMON","Timonius","Timonius spp."
8809,"TISU3","Timonius subauritus","Timonius subauritus"
8810,"TITI","Timonius timon","Timonius timon"
8811,"TOONA","redcedar","Toona spp."
8812,"TOCI","Australian redcedar","Toona ciliata"
8813,"TICO2","littleleaf linden","Tilia cordata"
8814,"TITO","Silver linden","Tilia tomentosa"
8815,"TITI2","tipa","Tipuana tipu"
8816,"TOCU","boje","Torralbasia cuneifolia"
8821,"TRFO3","Chinese windmill palm","Trachycarpus fortunei"
8822,"TOLA","olona","Touchardia latifolia"
8823,"TOUCH","touchardia","Touchardia spp."
8824,"TOAR2","velvetleaf soldierbush","Tournefortia argentea"
8825,"TOFI","cold withe","Tournefortia filiflora"
8826,"TOURN","soldierbush","Tournefortia spp."
8827,"TRCA33","magele","Trema cannabina"
8828,"TRLA2","Lamarck's trema","Trema lamarckiana"
8829,"TRMI2","Jamaican nettletree","Trema micrantha"
8830,"TOVE","poison sumac","Toxicodendron vernix"
8831,"TROR","oriental trema","Trema orientalis"
8832,"TREMA","trema","Trema spp."
8833,"TRHI3","broomstick","Trichilia hirta"
8834,"TRPA2","gaita","Trichilia pallida"
8836,"TRTR8","bariaco","Trichilia triacantha"
8837,"TRIK","Trichospermum ikutai","Trichospermum ikutai"
8838,"TRLE8","elsau, oleiulakersus","Trichospermum ledermannii"
8839,"TRRI9","maouli","Trichospermum richii"
8842,"TRTR7","limeberry","Triphasia trifolia"
8843,"TRIPL5","Triplaris spp.","Triplaris spp."
8844,"TRCU6","ant tree","Triplaris cumingiana"
8846,"TROB7","faia","Tristiropsis obtusangula"
8848,"TRRA4","white ramoon","Trophis racemosa"
8849,"TRCA7","Trukia carolinensis","Trukia carolinensis"
8850,"TUOC","muttonwood","Turpinia occidentalis"
8851,"ULPA","Chinese elm","Ulmus parvifolia"
8852,"ULPR","English elm","Ulmus procera"
8853,"URBA","scratchbush","Urera baccifera"
8854,"URCA2","flameberry","Urera caracasana"
8855,"URCH2","ortiga","Urera chlorocarpa"
8856,"URGL","hopue","Urera glabra"
8857,"URKA","opuhe","Urera kaalae"
8858,"URERA","urera","Urera spp."
8859,"UNSP","Mexican buckeye","Ungnadia speciosa"
8860,"VAAR","farkleberry","Vaccinium arboreum"
8861,"VAMA5","voa vanga","Vangueria madagascariensis"
8862,"ULDA","Japanese elm","Ulmus davidiana"
8863,"VAOA5","Vavaea pauciflora","Vavaea pauciflora"
8866,"VEME3","Manila palm","Veitchia merrillii"
8868,"STPO10","Sterculia ponapensis","Sterculia ponapensis"
8869,"VEMO3","mu oil tree","Vernicia montana"
8870,"VERNI","vernicia","Vernicia spp."
8871,"VIAG","lilac chastetree","Vitex agnus-castus"
8872,"VICO17","bars, beokel","Vitex cofassus"
8873,"VIDI2","higuerillo","Vitex divaricata"
8874,"VIPA6","smallflower chastetree","Vitex parviflora"
8875,"VITEX","chastetree","Vitex spp."
8652,"SPPU","purple mombin","Spondias purpurea"
8723,"TARO3","Tabernaemontana rotensis","Tabernaemontana rotensis"
8877,"VILE","nannyberry","Viburnum lentago"
8878,"VIPR","blackhaw","Viburnum prunifolium"
8879,"VIRU","rusty blackhaw","Viburnum rufidulum"
8880,"VISI","Siebold's arrowwood","Viburnum sieboldii"
8881,"WALA","Wallenia lamarckiana","Wallenia lamarckiana"
8883,"WAFI","California fan palm","Washingtonia filifera"
8884,"WEBI","ateate","Wedelia biflora"
8886,"WEAF","Weinmannia affinis","Weinmannia affinis"
8887,"WEPI","bastard briziletto","Weinmannia pinnata"
8889,"WIBI","alpine false ohelo","Wikstroemia bicornuta"
8890,"WIFU","forest false ohelo","Wikstroemia furcata"
8891,"WIMO","montane false ohelo","Wikstroemia monticola"
8892,"WIOA","Oahu false ohelo","Wikstroemia oahuensis"
8895,"WIPH2","Hawaii false ohelo","Wikstroemia phillyreifolia"
8896,"WIPU","Kohala false ohelo","Wikstroemia pulcherrima"
8897,"WISA","variableleaf false ohelo","Wikstroemia sandwicensis"
8898,"WISK","Skottsbergs false ohelo","Wikstroemia skottsbergiana"
8899,"WIKST","false ohelo","Wikstroemia spp."
8900,"WIVI","hairy false ohelo","Wikstroemia villosa"
8901,"XIAM","tallow wood","Ximenia americana"
8902,"XYCO7","dense logwood","Xylosma congestum"
8903,"XYGR","lalanyog","Xylocarpus granatum"
8904,"XYMO2","leilei","Xylocarpus moluccensis"
8905,"XYLOC2","Xylocarpus","Xylocarpus spp."
8906,"XYBU","mucha-gente","Xylosma buxifolia"
8907,"XYCR","sawtooth logwood","Xylosma crenata"
8908,"XYHA","Hawaii brushholly","Xylosma hawaiiensis"
8909,"XYNE2","Xylosma nelsonii","Xylosma nelsonii"
8910,"XYPA2","spiny logwood","Xylosma pachyphylla"
8911,"XYSA","Xylosma samoensis","Xylosma samoensis"
8912,"XYSC2","white logwood","Xylosma schaefferioides"
8913,"XYSC3","Schwaneck's logwood","Xylosma schwaneckeana"
8914,"XYBI","mission manzanita","Xylococcus bicolor"
8915,"XYLOS","xylosma","Xylosma spp."
8916,"YUAL","aloe yucca","Yucca aloifolia"
8917,"YUFA","Eve's needle","Yucca faxoniana"
8918,"YUGL2","moundlily yucca","Yucca gloriosa"
8919,"YUGU","bluestem yucca","Yucca guatemalensis"
8923,"ZABI","Maricao pricklyash","Zanthoxylum bifoliolatum"
8924,"ZACA3","prickly yellow","Zanthoxylum caribaeum"
8925,"ZADI","kawau","Zanthoxylum dipetalum"
8928,"ZAFL","West Indian satinwood","Zanthoxylum flavum"
8929,"ZAHA","Hawaii pricklyash","Zanthoxylum hawaiiense"
8930,"ZAKA","Kauai pricklyash","Zanthoxylum kauaense"
8931,"ZAMA","white pricklyash","Zanthoxylum martinicense"
8932,"ZAMO","yellow prickle","Zanthoxylum monophyllum"
8933,"ZAOA","Oahu pricklyash","Zanthoxylum oahuense"
8934,"ZAPU2","dotted pricklyash","Zanthoxylum punctatum"
8935,"ZASP","niaragato","Zanthoxylum spinifex"
8936,"ZANTH","pricklyash","Zanthoxylum spp."
8937,"ZATH","St. Thomas pricklyash","Zanthoxylum thomasianum"
8938,"ZAPO2","Zapoteca portoricensis","Zapoteca portoricensis"
8939,"ZIMA","Indian jujube","Ziziphus mauritiana"
8940,"ZIRE","cacao rojo","Ziziphus reticulata"
8941,"ZIRI","soana","Ziziphus rignonii"
8942,"ZAAM","common pricklyash","Zanthoxylum americanum"
8805,"TIUR","princess-flower","Tibouchina urvilleana"
7532,"LAIN","crapemyrtle","Lagerstroemia indica"
8876,"VITR7","simpleleaf chastetree","Vitex trifolia"
6019,"ACLO","Sydney golden wattle","Acacia longifolia"
6156,"AREX4","Norfolk Island Pine","Araucaria excelsa"
6480,"CHHU7","European fan palm","Chamaerops humilis"
6999,"ERIOB","loquat","Eriobotrya spp."
7030,"EUCL","sugargum","Eucalyptus cladocalyx"
7036,"EULE13","white ironbark","Eucalyptus leucoxylon"
7040,"EUPO","redbox","Eucalyptus polyanthemos"
7051,"EURU2","Western Australian floodedgum","Eucalyptus rudis"
7054,"EUSI2","red ironbark","Eucalyptus sideroxylon"
7147,"FESE2","feijoa","Feijoa sellowiana"
7489,"JUCH4","Chinese juniper","Juniperus chinensis"
7595,"LOCO9","vinegartree","Lophostemon confertus"
7861,"MYLA5","ngaio tree","Myoporum laetum"
8004,"OLEU","olive","Olea europaea"
8150,"PHRO6","pygmy date palm","Phoenix roebelenii"
8198,"PITH2","Japanese black pine","Pinus thunbergii"
8201,"PICA15","Canary Island pine","Pinus canariensis"
8202,"PIHA7","Aleppo pine","Pinus halepensis"
8222,"PITO2","Japanese cheesewood","Pittosporum tobira"
8350,"PRAR3","apricot","Prunus armeniaca"
8504,"SALA6","arroyo willow","Salix lasiolepis"
8561,"SCMO","Peruvian peppertree","Schinus molle"
8686,"SYRO4","queen palm","Syagrus romanzoffiana"
8707,"SYPA7","brush cherry","Syzygium paniculatum"
8729,"TARA","saltcedar","Tamarix ramosissima"
8885,"WARO","Washington fan palm","Washingtonia robusta"
8943,"ZITA","Taylor's jujube","Ziziphus taylorii"
8944,"ZACL","Hercules' club","Zanthoxylum clava-herculis"
8947,"ZIZI","common jujube","Ziziphus zizyphus"
10,"ABIES","fir spp.","Abies spp."
11,"ABAM","Pacific silver fir","Abies amabilis"
12,"ABBA","balsam fir","Abies balsamea"
14,"ABBR","Santa Lucia or bristlecone fir","Abies bracteata"
15,"ABCO","white fir","Abies concolor"
16,"ABFR","Fraser fir","Abies fraseri"
17,"ABGR","grand fir","Abies grandis"
18,"ABLAA","corkbark fir","Abies lasiocarpa"
19,"ABLA","subalpine fir","Abies lasiocarpa"
20,"ABMA","California red fir","Abies magnifica"
21,"ABSH","Shasta red fir","Abies shastensis"
22,"ABPR","noble fir","Abies procera"
40,"CHAMA4","white-cedar spp.","Chamaecyparis spp."
41,"CHLA","Port-Orford-cedar","Chamaecyparis lawsoniana"
42,"CHNO","Alaska yellow-cedar","Chamaecyparis nootkatensis"
43,"CHTH2","Atlantic white-cedar","Chamaecyparis thyoides"
50,"CUPRE","cypress","Cupressus spp."
51,"CUAR","Arizona cypress","Cupressus arizonica"
52,"CUBA","Baker or Modoc cypress","Cupressus bakeri"
53,"CUFO2","Tecate cypress","Cupressus forbesii"
54,"CUMA2","Monterey cypress","Cupressus macrocarpa"
55,"CUSA3","Sargent's cypress","Cupressus sargentii"
56,"CUMA","MacNab's cypress","Cupressus macnabiana"
57,"JUNIP","redcedar/juniper spp.","Juniperus spp."
58,"JUPI","Pinchot juniper","Juniperus pinchotii"
59,"JUCO11","redberry juniper","Juniperus coahuilensis"
60,"JUFL","Drooping juniper","Juniperus flaccida"
61,"JUAS","Ashe juniper","Juniperus ashei"
62,"JUCA7","California juniper","Juniperus californica"
63,"JUDE2","alligator juniper","Juniperus deppeana"
64,"JUOC","western juniper","Juniperus occidentalis"
65,"JUOS","Utah juniper","Juniperus osteosperma"
66,"JUSC2","Rocky Mountain juniper","Juniperus scopulorum"
67,"JUVIS","southern redcedar","Juniperus virginiana"
68,"JUVI","eastern redcedar","Juniperus virginiana"
69,"JUMO","oneseed juniper","Juniperus monosperma"
70,"LARIX","larch spp.","Larix spp."
71,"LALA","tamarack","Larix laricina"
72,"LALY","subalpine larch","Larix lyallii"
73,"LAOC","western larch","Larix occidentalis"
81,"CADE27","incense-cedar","Calocedrus decurrens"
90,"PICEA","spruce spp.","Picea spp."
91,"PIAB","Norway spruce","Picea abies"
92,"PIBR","Brewer spruce","Picea breweriana"
988,"LARA2","white mangrove","Laguncularia racemosa"
989,"RHMA2","American mangrove","Rhizophora mangle"
990,"OLTE","desert ironwood","Olneya tesota"
991,"TAMAR2","saltcedar","Tamarix spp."
992,"MEQU","melaleuca","Melaleuca quinquenervia"
993,"MEAZ","chinaberry","Melia azedarach"
994,"TRSE6","Chinese tallowtree","Triadica sebifera"
995,"VEFO","tungoil tree","Vernicia fordii"
996,"COOB2","smoketree","Cotinus obovatus"
997,"ELAN","Russian-olive","Elaeagnus angustifolia"
998,"2TB","unknown dead hardwood","Tree broadleaf"
999,"2TREE","other or unknown live tree","Tree unknown"
5091,"CRPH","Washington hawthorn","Crataegus phaenopyrum"
5092,"CRSU5","fleshy hawthorn","Crataegus succulenta"
5093,"CRUN","dwarf hawthorn","Crataegus uniflora"
5145,"ACCA5","hedge maple","Acer campestre"
5146,"ACCI","vine maple","Acer circinatum"
5147,"ACGI","Amur maple","Acer ginnala"
5148,"ACGR14","paperbark maple","Acer griseum"
5149,"ACMO10","Painted maple","Acer mono"
5150,"ACPA2","Japanese maple","Acer palmatum"
5151,"ACPS","sycamore maple","Acer pseudoplatanus"
5152,"ACTA80","tatarian maple","Acer tataricum"
5154,"ACFR","Freeman maple","Acer x freemanii"
5155,"ACMI7","State Street Maple","Acer miyabei"
5156,"ACTR7","Three Flower Maple","Acer triflorum"
5157,"ACPL2","Norwegian Sunset Maple","Acer platanoides x truncatum"
5163,"AEHI","horse chestnut","Aesculus hippocastanum"
5164,"AEPA2","bottlebrush buckeye","Aesculus parviflora"
5188,"ALIN2","gray alder","Alnus incana"
5189,"ALCO13","Italian alder","Alnus cordata"
5190,"ALSE2","hazel alder","Alnus serrulata"
5192,"ALVI5","green alder","Alnus viridis"
5203,"AMLA","Allegheny serviceberry","Amelanchier laevis"
5232,"AREL8","Japanese angelica tree","Aralia elata"
5233,"ARSP2","devil's walkingstick","Aralia spinosa"
5256,"ASPA18","smallflower pawpaw","Asimina parviflora"
5259,"BAGL","silverling","Baccharis glomeruliflora"
5260,"BAHA","eastern baccharis","Baccharis halimifolia"
5261,"BAGA2","peach palm","Bactris gasipaes"
5279,"BEPE3","European white birch","Betula pendula"
5280,"BEPL2","Asian white birch","Betula platyphylla"
5281,"BEPU5","downy birch","Betula pubescens"
5322,"BUAL","fountain butterflybush","Buddleja alternifolia"
5329,"BUSE2","common box","Buxus sempervirens"
5363,"CAJA9","camellia","Camellia japonica"
5364,"CASI16","tea","Camellia sinensis"
5375,"CAAR18","Siberian peashrub","Caragana arborescens"
5378,"CABE8","European hornbeam","Carpinus betulus"
5401,"CACR27","Japanese chestnut","Castanea crenata"
5402,"CASA27","European chestnut","Castanea sativa"
5411,"CAOV5","Chinese catalpa","Catalpa ovata"
5415,"CEVE","snowbrush ceanothus","Ceanothus velutinus"
5420,"CEAT4","Atlas cedar","Cedrus atlantica"
5421,"CELI6","cedar of Lebanon","Cedrus libani"
5423,"CEDE2","Deodar cedar","Cedrus deodara"
5432,"CEOC2","common buttonbush","Cephalanthus occidentalis"
5435,"CEJA2","katsura tree","Cercidiphyllum japonicum"
5436,"CEOR9","California redbud","Cercis orbiculata"
5443,"CHOB8","hinoki false cypress","Chamaecyparis obtusa"
5462,"CHLI2","desert willow","Chilopsis linearis"
5491,"FRBE","Berlandier ash","Fraxinus berlandieriana"
5492,"FREX80","European ash","Fraxinus excelsior"
5493,"FROX","Caucasian ash","Fraxinus oxycarpa"
5523,"CLBU","rose glorybower","Clerodendrum bungei"
6729,"COAS6","Tou","Cordia aspera"
6730,"COBO3","muneco","Cordia borinquensis"
6731,"COCO5","red manjack","Cordia collococca"
6733,"CODI18","fragrant manjack","Cordia dichotoma"
6735,"COLA12","smooth manjack","Cordia laevigata"
6736,"COMI6","Cordia micronesica","Cordia micronesica"
6737,"COOB3","clammy cherry","Cordia obliqua"
6738,"CORI","San Bartolome","Cordia rickseckeri"
6739,"CORU5","Puerto Rico manjack","Cordia rupicola"
6741,"CORDI","cordia","Cordia spp."
6742,"COSU2","kou","Cordia subcordata"
6743,"COSU3","mucilage manjack","Cordia sulcata"
6744,"COFR2","tiplant","Cordyline fruticosa"
6745,"CORDY2","cordyline","Cordyline spp."
6746,"COOB4","nigua","Cornutia obovata"
6747,"COPY2","azulejo","Cornutia pyramidata"
6748,"CODR","roughleaf dogwood","Cornus drummondii"
6749,"COCA48","redgum","Corymbia calophylla"
6750,"COCI4","Corymbia citriodora","Corymbia citriodora"
6751,"COFI7","redflower gum","Corymbia ficifolia"
6752,"COGU4","red bloodwood","Corymbia gummifera"
6754,"COLA6","karaka nut","Corynocarpus laevigatus"
6755,"CORYN2","corynocarpus","Corynocarpus spp."
6756,"COGU3","cannonball tree","Couroupita guianensis"
6758,"CRRE12","sacred garlic pear","Crateva religiosa"
6759,"PUST","Stansbury cliffrose","Purshia stansburiana"
6760,"CRAL11","houka, calabash","Crescentia alata"
6761,"CRCU","common calabash tree","Crescentia cujete"
6762,"CRLI5","higuerito","Crescentia linearifolia"
6763,"CRPO6","higuero de sierra","Crescentia portoricensis"
6765,"CRPO7","Critonia portoricensis","Critonia portoricensis"
6767,"CRRH","maidenberry","Crossopetalum rhacoma"
6768,"QUAR2","Arkansas oak","Quercus arkansana"
6769,"CRBI9","Saitamu","Crossostylis biflora"
6771,"CRLO3","longbeak rattlebox","Crotalaria longirostrata"
6772,"CROTO","croton spp.","Croton spp."
6773,"CRAS3","wild marrow","Croton astroites"
6774,"CRFL23","Croton flavens","Croton flavens"
6775,"CRPO4","sabinon","Croton poecilanthus"
6778,"CROR5","Cryptocarya oreophila","Cryptocarya oreophila"
6779,"CREL8","laulilii","Cryptocarya elegans"
6781,"CRMA8","holio","Cryptocarya mannii"
6782,"QUGE","Georgia oak","Quercus georgiana"
6783,"CRYPT2","cryptocarya","Cryptocarya spp."
6784,"CRTU4","laulilii","Cryptocarya turbinata"
6785,"QUHA3","Havard oak","Quercus havardii"
6786,"CRJA3","Japanese cedar","Cryptomeria japonica"
6787,"CRYPT4","Japanese cedar","Cryptomeria spp."
6788,"CULA","Chinese fir","Cunninghamia lanceolata"
6790,"CUAM","wild ackee","Cupania americana"
6791,"QUMY","myrtle oak","Quercus myrtifolia"
6792,"CUTR","guara blanca","Cupania triquetra"
6794,"QUPE2","durmast oak","Quercus petraea"
6795,"CULU2","cedar-of-Goa","Cupressus lusitanica"
6796,"CUSE2","Italian cypress","Cupressus sempervirens"
6797,"QURO2","English oak","Quercus robur"
7456,"ILCO3","te","Ilex cookii"
7457,"ILGU","maconcona","Ilex guianensis"
7458,"ILMA","Caribbean holly","Ilex macfadyenii"
7459,"ILNI","Puerto Rico holly","Ilex nitida"
7460,"ILPA3","mate","Ilex paraguariensis"
7462,"ILSI","gongolin","Ilex sideroxyloides"
7463,"ILSI2","Sintenis' holly","Ilex sintenisii"
7464,"ILEX","holly","Ilex spp."
7465,"ILUR","Urban's holly","Ilex urbaniana"
7466,"ILURR","Ilex urbaniana","Ilex urbaniana"
7467,"INGA","inga","Inga spp."
7469,"ILVO","yaupon","Ilex vomitoria"
7470,"INLA","sacky sac bean","Inga laurina"
7471,"INNOQ","Inga nobilis","Inga nobilis"
7472,"INED","ice cream bean","Inga edulis"
7474,"INVE","river koko","Inga vera"
7475,"INFA3","ifi","Inocarpus fagifer"
7477,"INBI","ifilele","Intsia bijuga"
7479,"IXFE","palo de hierro","Ixora ferrea"
7481,"IXTH","white jungleflame","Ixora thwaitesii"
7482,"JAMI","black poui","Jacaranda mimosifolia"
7483,"JACAR","jacaranda","Jacaranda spp."
